Game_number,Result,Avg_team_Age,Match_light_type,Match_format,Bowlers_in_team,Wicket_keeper_in_team,All_rounder_in_team,First_selection,Opponent,Season,Audience_number,Offshore,Max_run_scored_1over,Max_wicket_taken_1over,Extra_bowls_bowled,Min_run_given_1over,Min_run_scored_1over,Max_run_given_1over,extra_bowls_opponent,player_highest_run,Players_scored_zero,player_highest_wicket
Game_21,Loss,24,Day,Test,2,1,1,Bowling,Australia,Summer,17948,No,12,3,1,3,4,6,0,52,2,1
Game_22,Loss,24,Day,T20,3,1,4,Bowling,Zimbabwe,Summer,14847,Yes,13,2,1,0,4,6,0,37,2,1
Game_23,Win,24,Day,ODI,2,1,3,Bowling,Kenya,Summer,17864,No,25,3,1,4,3,6,1,54,3,1
Game_24,Loss,24,Night,ODI,3,1,1,Batting,Kenya,Summer,13013,Yes,25,2,1,2,4,6,1,96,2,1
Game_25,Win,24,Day,ODI,3,1,2,Batting,Kenya,Summer,20958,Yes,12,4,1,2,3,6,0,57,4,1
Game_26,Loss,,Day,T20,1,1,4,Bowling,Zimbabwe,Summer,11725,Yes,19,4,0,0,2,6,0,50,3,1
Game_27,Win,24,Day,ODI,1,1,2,Batting,Srilanka,Summer,10381,No,14,4,1,3,3,6,0,79,3,1
Game_28,Loss,24,,T20,1,1,3,Batting,Zimbabwe,Summer,16275,No,21,1,1,0,4,6,0,100,1,1
Game_29,Loss,24,Day,ODI,3,1,2,Bowling,Srilanka,Summer,7714,No,22,3,1,3,2,6,0,47,2,1
Game_30,Loss,24,Day,Test,2,1,1,Bowling,Australia,Summer,17948,No,12,3,1,3,4,6,0,52,2,1
Game_31,Loss,24,Day,T20,3,1,4,Bowling,Zimbabwe,Summer,14847,Yes,13,2,1,0,4,6,0,37,2,1
Game_32,Win,24,Day,ODI,2,1,3,Bowling,Kenya,Summer,17864,No,25,3,1,4,3,6,1,54,3,1
Game_33,Loss,24,Night,ODI,3,1,1,Batting,Kenya,Summer,,Yes,25,2,1,2,4,6,1,96,2,1
Game_34,Win,24,Day,ODI,3,1,2,Batting,Kenya,Summer,20958,Yes,12,4,1,2,3,6,0,57,4,1
Game_35,Loss,24,Day and Night,ODI,3,1,4,Batting,Srilanka,Summer,20482,Yes,18,2,1,5,3,6,0,66,2,1
Game_36,Win,24,Day,ODI,3,1,4,Batting,Kenya,Summer,19852,No,13,4,1,0,4,6,0,83,2,1
Game_37,Loss,24,Day,ODI,1,1,4,Bowling,Kenya,Summer,7063,Yes,11,4,1,5,3,6,0,32,3,1
Game_38,Loss,24,Day,T20,3,1,3,Batting,Zimbabwe,Summer,14308,No,13,4,2,0,2,6,2,49,2,1
Game_39,Loss,24,Day,ODI,3,1,1,Bowling,Srilanka,Summer,20811,No,19,2,1,2,3,6,0,84,3,1
Game_40,Loss,24,Day,ODI,3,1,4,Batting,Kenya,Summer,18200,Yes,15,1,1,2,3,6,0,98,2,1
Game_41,Loss,24,Day and Night,T20,3,1,4,Batting,Zimbabwe,Summer,16261,Yes,14,2,2,0,3,6,2,54,3,1
Game_42,Win,24,Day,ODI,3,1,1,Bowling,Srilanka,Summer,21231,No,12,1,2,2,2,6,2,87,2,1
Game_43,Win,24,Day,20-20,3,1,3,Bowling,Zimbabwe,Summer,18746,No,17,4,2,0,3,6,1,43,4,1
Game_44,Win,24,Day,T20,3,1,3,Batting,Zimbabwe,Summer,19481,No,19,1,2,0,3,6,2,31,3,1
Game_45,Win,24,Day,T20,1,1,4,Bowling,Zimbabwe,Summer,19096,No,11,1,2,0,3,6,2,54,3,1
Game_46,Loss,24,Day and Night,ODI,3,1,4,Batting,Srilanka,Summer,20482,Yes,18,2,1,5,3,6,0,66,2,1
Game_47,Win,24,Day,ODI,3,1,4,Bat,Kenya,Summer,19852,No,13,4,1,0,4,6,0,83,2,1
Game_48,Loss,24,Day,ODI,1,1,4,Bowling,Kenya,Summer,7063,Yes,11,4,1,5,3,6,0,32,3,1
Game_49,Loss,24,Day,T20,3,1,3,Batting,Zimbabwe,Summer,14308,No,13,4,2,0,2,6,2,49,2,1
Game_50,Loss,,Day,ODI,,1,1,Bowling,Srilanka,Summer,20811,No,19,2,1,2,3,6,0,84,3,1
Game_51,Loss,24,Day,ODI,3,1,4,Batting,Kenya,Summer,18200,Yes,15,1,1,2,3,6,0,98,2,1
Game_52,Loss,24,,T20,3,1,4,Batting,Zimbabwe,Summer,16261,Yes,14,2,2,0,3,6,2,54,3,1
Game_53,Win,24,Day,ODI,3,1,1,Bowling,Srilanka,Summer,21231,No,12,1,2,2,2,6,2,87,2,1
Game_54,Win,24,Day,T20,3,1,3,Bowling,Zimbabwe,Summer,18746,No,17,4,2,0,3,6,1,43,4,1
Game_55,Win,24,Day,T20,3,1,3,Batting,Zimbabwe,Summer,19481,No,19,1,2,0,3,6,2,31,3,1
Game_56,Win,24,Day,T20,1,1,4,Bowling,Zimbabwe,Summer,19096,No,11,1,2,0,3,6,2,54,3,1
Game_57,Win,24,Day,ODI,2,1,3,Bowling,Kenya,Summer,8624,No,14,4,0,6,3,6,0,96,3,1
Game_58,Win,24,Day,ODI,2,1,4,Bowling,Kenya,Summer,22610,No,17,1,3,4,4,6,2,100,2,1
Game_59,Loss,17,Day and Night,T20,1,1,1,Batting,Zimbabwe,Summer,15218,Yes,11,3,3,0,3,6,2,99,2,1
Game_60,Win,24,Night,T20,2,1,1,Bowling,Zimbabwe,Summer,18270,No,24,3,3,0,2,6,2,39,3,1
Game_61,Loss,24,Day,T20,3,1,3,Batting,Zimbabwe,Summer,19012,No,15,4,1,0,3,6,0,90,4,1
Game_62,Win,24,Day,,1,1,3,Bowling,Zimbabwe,Summer,24129,No,11,3,3,2,3,6,2,49,3,1
Game_63,Loss,24,Day,ODI,1,1,4,Batting,Kenya,Summer,18851,No,19,1,1,3,2,6,0,65,3,1
Game_64,Loss,24,Day,ODI,3,1,3,Batting,Srilanka,Summer,9912,No,13,1,1,6,2,6,0,36,2,1
Game_65,Win,24,Day,ODI,1,1,4,Batting,Kenya,Summer,14490,Yes,11,3,2,6,4,6,2,70,2,1
Game_66,Loss,24,Day and Night,ODI,2,1,1,Batting,Srilanka,Summer,18375,No,20,3,2,2,1,6,2,45,2,1
Game_67,Win,24,Day,ODI,1,1,3,Bowling,Kenya,Summer,21819,No,18,3,3,2,3,6,2,97,3,1
Game_68,Loss,24,Day,T20,1,1,2,Bowling,Zimbabwe,Summer,18753,No,13,2,1,0,3,6,0,31,3,1
Game_69,Win,24,Day,T20,1,1,3,Bowling,Zimbabwe,Summer,16660,Yes,11,4,2,0,3,6,2,58,3,1
Game_70,Win,24,Day,ODI,2,1,3,Bowling,Kenya,Summer,8624,No,14,4,0,6,3,6,0,96,3,1
Game_71,Win,24,Day,ODI,2,1,4,Bowling,Kenya,Summer,22610,No,17,1,3,4,4,6,2,100,2,1
Game_72,Loss,24,Day and Night,T20,1,1,1,Bat,Zimbabwe,Summer,15218,Yes,11,3,3,0,3,6,2,99,2,1
Game_73,Win,24,Night,T20,2,1,1,Bowling,Zimbabwe,Summer,18270,No,24,3,3,0,2,6,2,39,3,1
Game_74,Loss,,Day,T20,,1,3,Batting,Zimbabwe,Summer,19012,No,15,4,1,0,3,6,0,90,4,1
Game_75,Win,24,Day,T20,1,1,3,Bowling,Zimbabwe,Summer,24129,No,11,3,3,0,3,6,2,49,3,1
Game_76,Loss,24,,ODI,1,1,4,Batting,Kenya,Summer,18851,No,19,1,1,3,2,6,0,65,3,1
Game_77,Loss,24,Day,ODI,3,1,3,Batting,Srilanka,Summer,9912,No,13,1,1,6,2,6,0,36,2,1
Game_78,Win,24,Day,ODI,1,1,,Batting,Kenya,Summer,14490,Yes,11,3,2,6,4,6,2,70,2,1
Game_79,Loss,24,Day and Night,ODI,2,1,1,Batting,Srilanka,Summer,18375,No,20,3,2,2,1,6,2,45,2,1
Game_80,Win,24,Day,ODI,1,1,3,Bowling,Kenya,Summer,21819,No,18,3,3,2,3,6,2,97,3,1
Game_81,Loss,24,Day,T20,1,1,2,Bowling,Zimbabwe,Summer,,No,13,2,1,0,3,6,0,31,3,1
Game_82,Win,24,Day,T20,1,1,3,Bowling,Zimbabwe,Summer,16660,Yes,11,4,2,0,3,6,2,58,3,1
Game_83,Win,24,Night,ODI,2,1,4,Bowling,Srilanka,Winter,20545,Yes,13,2,1,2,2,6,0,96,4,1
Game_84,Win,24,Day,ODI,3,1,2,Batting,Srilanka,Summer,20097,No,15,3,1,5,3,6,0,59,3,1
Game_85,Win,24,Day,ODI,1,1,3,Bowling,Srilanka,Rainy,17661,No,14,3,3,2,3,6,1,100,3,1
Game_86,Win,24,Day,,1,1,3,Bowling,Kenya,Rainy,16261,No,24,1,2,6,3,6,2,80,3,1
Game_87,Win,24,Day,ODI,3,1,4,Bowling,Kenya,Winter,16296,Yes,16,1,4,2,2,6,2,60,4,1
Game_88,Win,24,Day,ODI,3,1,1,Batting,Kenya,Rainy,15708,No,13,4,2,1,3,6,1,43,3,1
Game_89,Loss,24,Day and Night,ODI,1,1,3,Bowling,Srilanka,Summer,27258,No,16,3,4,3,3,6,2,99,2,1
Game_90,Win,24,Day,ODI,1,1,1,Bowling,Kenya,Rainy,19411,No,20,4,3,3,3,6,2,69,3,1
Game_91,Win,24,Day,ODI,2,1,4,Bowling,England,Rainy,33425,No,22,1,4,2,1,6,2,33,2,2
Game_92,Loss,24,Day,ODI,1,1,2,Batting,England,Rainy,29197,Yes,19,1,4,3,4,6,2,34,3,2
Game_93,Win,24,Day,ODI,1,1,2,Bowling,Srilanka,Rainy,17157,No,15,1,4,3,2,6,3,94,1,1
Game_94,Loss,24,Day and Night,ODI,4,1,3,Bowling,Kenya,Rainy,19971,Yes,11,2,1,5,3,6,0,48,2,1
Game_95,Win,24,Night,ODI,2,1,2,Batting,Kenya,Rainy,19698,Yes,14,2,4,2,2,6,2,85,2,1
Game_96,Loss,24,Day,ODI,1,1,3,Batting,Srilanka,Rainy,16786,Yes,,3,1,6,3,6,0,79,3,1
Game_97,Loss,24,Day,ODI,1,1,4,Bowling,Kenya,Summer,17304,Yes,23,1,1,2,3,6,0,75,3,1
Game_98,Win,,Day,ODI,,1,4,Bowling,Kenya,Summer,23625,No,12,4,4,2,4,6,2,63,3,1
Game_99,Win,24,Night,ODI,2,1,4,Bowling,Srilanka,Winter,20545,Yes,13,2,1,2,2,6,0,96,4,1
Game_100,Win,24,,ODI,3,1,2,Batting,Srilanka,Summer,20097,No,15,3,1,5,3,6,0,59,3,1
Game_101,Win,24,Day,ODI,1,1,3,Bowling,Srilanka,Rainy,17661,No,14,3,3,2,3,6,1,100,3,1
Game_102,Win,24,Day,ODI,1,1,3,Bowling,Kenya,Rainy,16261,No,24,1,2,6,3,6,2,80,3,1
Game_103,Win,24,Day,ODI,3,1,4,Bowling,Kenya,Winter,16296,Yes,16,1,4,2,2,6,2,60,4,1
Game_104,Win,24,Day,ODI,3,1,1,Batting,Kenya,Rainy,15708,No,13,4,2,1,3,6,1,43,3,1
Game_105,Loss,24,Day and Night,ODI,1,1,3,Bowling,Srilanka,Summer,,No,16,3,4,3,3,6,2,99,2,1
Game_106,Win,24,Day,ODI,1,1,1,Bowling,Kenya,Rainy,19411,No,20,4,3,3,3,6,2,69,3,1
Game_107,Win,24,Day,ODI,2,1,4,Bowling,England,Rainy,33425,No,22,1,4,2,1,6,2,33,2,2
Game_108,Loss,24,Day,ODI,1,1,2,Batting,England,Rainy,29197,Yes,19,1,4,3,4,6,2,34,3,2
Game_109,Win,24,Day,ODI,1,1,2,Bowling,Srilanka,Rainy,17157,No,15,1,4,3,2,6,3,94,1,1
Game_110,Loss,24,Day and Night,ODI,4,1,3,Bowling,Kenya,Rainy,19971,Yes,11,2,1,5,3,6,0,48,2,1
Game_111,Win,24,Night,ODI,2,1,2,Batting,Kenya,Rainy,19698,Yes,14,2,4,2,2,6,2,85,2,1
Game_112,Loss,24,Day,ODI,1,1,3,Batting,Srilanka,Rainy,16786,Yes,17,3,1,6,3,6,0,79,3,1
Game_113,Loss,12,Day,ODI,1,1,4,Bowling,Kenya,Summer,17304,Yes,23,1,1,2,3,6,0,75,3,1
Game_114,Win,24,Day,ODI,2,1,4,Bowling,Kenya,Summer,23625,No,12,4,4,2,4,6,2,63,3,1
Game_115,Win,24,Day,T20,1,1,3,Bowling,Zimbabwe,Winter,16254,No,13,3,3,0,3,6,0,62,3,1
Game_116,Win,24,Day,ODI,1,1,3,Bowling,Kenya,Winter,20328,No,12,3,4,2,2,6,2,83,3,1
Game_117,Win,24,Day,ODI,3,1,1,Bowling,Kenya,Rainy,19733,No,16,1,5,3,4,6,2,58,4,1
Game_118,Win,24,Day,ODI,1,1,2,Bowling,Srilanka,Rainy,17500,No,14,4,5,2,4,6,3,37,3,1
Game_119,Win,24,Day,ODI,1,1,1,Bowling,Kenya,Summer,24535,No,18,4,2,3,3,6,2,79,4,1
Game_120,Loss,24,Day,ODI,3,1,3,Bowling,Srilanka,Rainy,11207,Yes,,3,1,2,3,6,0,63,4,1
Game_121,Win,24,Day,ODI,2,1,4,Bowling,Kenya,Rainy,8561,No,22,4,1,2,3,6,0,47,3,1
Game_122,Win,,Day,ODI,,1,1,Bowling,Srilanka,Summer,15904,No,14,2,5,2,3,6,3,97,3,2
Game_123,Win,24,Day,ODI,3,1,4,Bowling,Kenya,Rainy,14511,No,16,4,4,2,3,6,2,45,4,1
Game_124,Loss,24,,ODI,1,1,4,Bowling,Srilanka,Summer,27923,Yes,11,1,5,2,3,6,4,93,2,1
Game_125,Loss,24,Day,T20,3,1,3,Bowling,Zimbabwe,Winter,15925,Yes,21,2,3,0,3,6,2,99,3,1
Game_126,Win,24,Day,ODI,1,1,,Batting,Srilanka,Summer,23065,No,13,3,3,3,1,6,2,51,3,1
Game_127,Win,24,Day,ODI,2,1,4,Bowling,Srilanka,Summer,18529,No,13,3,5,6,4,6,2,78,3,1
Game_128,Loss,24,Day and Night,T20,3,1,4,Bowling,Zimbabwe,Rainy,12530,No,19,1,1,0,2,6,0,33,3,1
Game_129,Win,24,Day,T20,1,1,3,Bowling,Zimbabwe,Winter,,No,13,3,3,0,3,6,0,62,3,1
Game_130,Win,24,Day,ODI,1,1,3,Bowling,Kenya,Winter,20328,No,12,3,4,2,2,6,2,83,3,1
Game_131,Win,24,Day,ODI,3,1,1,Bowling,Kenya,Rainy,19733,No,16,1,5,3,4,6,2,58,4,1
Game_132,Win,24,Day,ODI,1,1,2,Bowling,Srilanka,Rainy,17500,No,14,4,5,2,4,6,3,37,3,1
Game_133,Win,24,Day,ODI,1,1,1,Bowling,Kenya,Summer,24535,No,18,4,2,3,3,6,2,79,4,1
Game_134,Loss,24,Day,,3,1,3,Bowling,Srilanka,Rainy,11207,Yes,21,3,1,2,3,6,0,63,4,1
Game_135,Win,24,Day,ODI,2,1,4,Bowling,Kenya,Rainy,8561,No,22,4,1,2,3,6,0,47,3,1
Game_136,Win,24,Day,ODI,1,1,1,Bowling,Srilanka,Summer,15904,No,14,2,5,2,3,6,3,97,3,2
Game_137,Win,24,Day,ODI,3,1,4,Bowling,Kenya,Rainy,14511,No,16,4,4,2,3,6,2,45,4,1
Game_138,Loss,24,Day,ODI,1,1,4,Bowling,Srilanka,Summer,27923,Yes,11,1,5,2,3,6,4,93,2,1
Game_139,Loss,24,Day,T20,3,1,3,Bowling,Zimbabwe,Winter,15925,Yes,21,2,3,0,3,6,2,99,3,1
Game_140,Win,24,Day,ODI,1,1,3,Batting,Srilanka,Summer,23065,No,13,3,3,3,1,6,2,51,3,1
Game_141,Win,24,Day,ODI,2,1,4,Bowling,Srilanka,Summer,18529,No,13,3,5,6,4,6,2,78,3,1
Game_142,Loss,24,Day and Night,T20,3,1,4,Bowling,Zimbabwe,Rainy,12530,No,19,1,1,0,2,6,0,33,3,1
Game_143,Win,24,Night,ODI,2,1,1,Batting,England,Winter,28077,No,18,4,5,5,2,6,2,96,4,2
Game_144,Loss,24,Day,ODI,3,1,2,Bowling,Kenya,Rainy,16051,Yes,,1,6,2,2,6,0,61,3,1
Game_145,Win,24,Day,T20,2,1,1,Batting,South Africa,Rainy,34993,No,21,1,4,0,2,6,2,33,3,2
Game_146,Win,,Day,ODI,,1,2,Bowling,Srilanka,Rainy,19418,No,12,3,6,2,3,6,3,52,3,1
Game_147,Win,24,Day,T20,4,1,4,Batting,South Africa,Winter,29820,Yes,12,4,5,0,4,6,2,77,3,2
Game_148,Loss,24,,T20,1,1,1,Batting,Zimbabwe,Summer,22414,Yes,16,2,6,0,3,6,3,62,3,1
Game_149,Win,24,Day and Night,T20,3,1,4,Bowling,Zimbabwe,Rainy,16800,No,13,3,3,0,3,6,2,38,3,1
Game_150,Win,24,Day,ODI,3,1,,Bowling,Kenya,Rainy,19075,Yes,11,2,6,3,3,6,5,89,4,1
Game_151,Win,24,Day,ODI,2,1,4,Bowling,Srilanka,Rainy,14889,No,21,4,1,2,3,6,0,94,2,1
Game_152,Loss,24,Day and Night,ODI,3,1,1,Batting,Srilanka,Rainy,20202,Yes,16,4,6,4,3,6,3,55,3,1
Game_153,Loss,24,Day,T20,2,1,1,Batting,South Africa,Summer,,No,14,1,4,0,3,6,2,65,3,2
Game_154,Win,24,Night,ODI,3,1,3,Bowling,Srilanka,Winter,18858,No,11,3,1,4,3,6,0,60,2,1
Game_155,Win,24,Night,ODI,1,1,1,Bowling,Srilanka,Rainy,22134,No,17,4,6,2,2,6,2,46,2,1
Game_156,Win,24,Day,ODI,1,1,4,Batting,England,Winter,30639,No,15,2,5,6,3,6,2,41,2,2
Game_157,Win,24,Day,ODI,3,1,4,Bowling,Srilanka,Summer,25179,No,22,4,6,2,3,6,3,49,3,1
Game_158,Loss,24,Day,,2,1,4,Batting,Srilanka,Rainy,15470,No,13,1,1,3,1,6,0,97,3,1
Game_159,Win,24,Day,T20,1,1,4,Batting,South Africa,Rainy,29134,Yes,12,3,5,0,3,6,4,42,3,2
Game_160,Loss,24,Day and Night,ODI,3,1,2,Bowling,Srilanka,Summer,22204,Yes,11,3,4,2,2,6,0,89,3,1
Game_161,Win,24,Night,T20,2,1,4,Batting,Zimbabwe,Rainy,14231,No,13,3,1,0,3,6,0,78,3,1
Game_162,Win,24,Day,ODI,2,1,3,Bowling,Srilanka,Winter,16072,No,14,2,2,3,3,6,1,57,2,1
Game_163,Win,24,Day and Night,ODI,1,1,1,Bat,Kenya,Summer,26320,Yes,13,3,6,2,3,6,3,32,3,1
Game_164,Win,24,Day,ODI,3,1,3,Bowling,Kenya,Rainy,30807,No,16,4,5,1,3,6,3,62,4,1
Game_165,Loss,24,Day,Test,1,1,4,Bowling,Australia,Rainy,10885,No,11,3,1,2,3,6,0,58,1,1
Game_166,Win,24,Day,ODI,1,1,2,Bowling,Srilanka,Winter,27349,No,13,2,6,2,4,6,2,91,3,1
Game_167,Win,24,Day and Night,Test,3,1,1,Bowling,Australia,Rainy,15015,No,14,4,3,2,3,6,2,59,3,1
Game_168,Win,24,Day,ODI,2,1,2,Bowling,Pakistan,Summer,32319,No,,2,4,2,2,6,3,45,2,2
Game_169,Win,24,Night,ODI,2,1,1,Batting,England,Winter,28077,No,18,4,5,5,2,6,2,96,4,2
Game_170,Loss,,Day,ODI,,1,2,Bowling,Kenya,Rainy,16051,Yes,16,1,6,2,2,6,0,61,3,1
Game_171,Win,24,Day,T20,2,1,1,Batting,South Africa,Rainy,34993,No,21,1,4,0,2,6,2,33,3,2
Game_172,Win,24,,ODI,1,1,2,Bowling,Srilanka,Rainy,19418,No,12,3,6,2,3,6,3,52,3,1
Game_173,Win,24,Day,T20,4,1,4,Batting,South Africa,Winter,29820,Yes,12,4,5,0,4,6,2,77,3,2
Game_174,Loss,24,Day,20-20,1,1,,Batting,Zimbabwe,Summer,22414,Yes,16,2,6,0,3,6,3,62,3,1
Game_175,Win,24,Day and Night,T20,3,1,4,Bowling,Zimbabwe,Rainy,16800,No,13,3,3,0,3,6,2,38,3,1
Game_176,Win,24,Day,ODI,3,1,2,Bowling,Kenya,Rainy,19075,Yes,11,2,6,3,3,6,5,89,4,1
Game_177,Win,24,Day,ODI,2,1,4,Bowling,Srilanka,Rainy,14889,No,21,4,1,2,3,6,0,94,2,1
Game_178,Loss,24,Day and Night,ODI,3,1,1,Batting,Srilanka,Rainy,20202,Yes,16,4,6,4,3,6,3,55,3,1
Game_179,Loss,24,Day,T20,2,1,1,Batting,South Africa,Summer,32039,No,14,1,4,0,3,6,2,65,3,2
Game_180,Win,24,Night,ODI,3,1,3,Bowling,Srilanka,Winter,18858,No,11,3,1,4,3,6,0,60,2,1
Game_181,Win,24,Night,ODI,1,1,1,Bowling,Srilanka,Rainy,22134,No,17,4,6,2,2,6,2,46,2,1
Game_182,Win,24,Day,,1,1,4,Batting,England,Winter,30639,No,15,2,5,6,3,6,2,41,2,2
Game_183,Win,24,Day,ODI,3,1,4,Bowling,Srilanka,Summer,25179,No,22,4,6,2,3,6,3,49,3,1
Game_184,Loss,24,Day,ODI,2,1,4,Batting,Srilanka,Rainy,15470,No,13,1,1,3,1,6,0,97,3,1
Game_185,Win,24,Day,T20,1,1,4,Batting,South Africa,Rainy,29134,Yes,12,3,5,0,3,6,4,42,3,2
Game_186,Loss,24,Day and Night,ODI,3,1,2,Bowling,Srilanka,Summer,22204,Yes,11,3,4,2,2,6,0,89,3,1
Game_187,Win,24,Night,T20,2,1,4,Batting,Zimbabwe,Rainy,14231,No,13,3,1,0,3,6,0,78,3,1
Game_188,Win,24,Day,ODI,2,1,3,Bowling,Srilanka,Winter,16072,No,14,2,2,3,3,6,1,57,2,1
Game_189,Win,24,Day and Night,ODI,1,1,1,Batting,Kenya,Summer,26320,Yes,13,3,6,2,3,6,3,32,3,1
Game_190,Win,24,Day,ODI,3,1,3,Bowling,Kenya,Rainy,30807,No,16,4,5,1,3,6,3,62,4,1
Game_191,Loss,24,Day,Test,1,1,4,Bowling,Australia,Rainy,10885,No,11,3,1,2,3,6,0,58,1,1
Game_192,Win,24,Day,ODI,1,1,2,Bowling,Srilanka,Winter,27349,No,13,2,6,2,4,6,2,91,3,1
Game_193,Win,24,Day and Night,Test,3,1,1,Bowling,Australia,Rainy,15015,No,14,4,3,2,3,6,2,59,3,1
Game_194,Win,24,Day,ODI,,1,2,Bowling,Pakistan,Summer,32319,No,12,2,4,2,2,6,3,45,2,2
Game_195,Loss,25,Day,T20,3,1,3,Bowling,South Africa,Summer,40208,Yes,11,4,6,0,3,6,4,46,2,2
Game_196,Win,25,,ODI,1,1,4,Bowling,Kenya,Rainy,20223,No,11,3,2,2,3,6,2,64,2,1
Game_197,Win,25,Day,T20,3,1,1,Bowling,South Africa,Rainy,60473,No,18,4,6,0,3,6,2,41,2,2
Game_198,Win,25,Day,ODI,3,1,,Batting,England,Rainy,34286,No,12,4,5,3,3,6,2,62,3,2
Game_199,Win,25,Night,ODI,2,1,2,Bowling,Pakistan,Winter,28000,No,12,4,6,2,3,6,3,85,4,2
Game_200,Win,25,Day,T20,2,1,2,Batting,South Africa,Summer,31409,Yes,11,2,5,0,3,6,4,99,2,2
Game_201,Loss,25,Day,ODI,3,1,1,Bowling,Srilanka,Rainy,,No,13,3,6,5,3,6,2,91,3,1
Game_202,Win,25,Day,T20,1,1,2,Bowling,Zimbabwe,Rainy,14672,No,11,3,7,0,3,7,4,40,3,1
Game_203,Win,25,Day,T20,3,1,4,Bowling,South Africa,Rainy,33957,No,22,3,4,0,3,6,2,57,4,2
Game_204,Win,25,Day,T20,1,1,3,Batting,South Africa,Summer,43260,No,23,2,6,0,2,6,5,32,3,2
Game_205,Win,25,Day,ODI,1,1,1,Bowling,Kenya,Summer,23968,No,13,3,6,3,2,6,3,65,4,1
Game_206,Win,25,Day,,1,1,3,Bowling,South Africa,Rainy,29358,Yes,18,4,5,3,3,6,3,98,3,2
Game_207,Win,25,Day,T20,1,1,3,Bowling,South Africa,Rainy,29792,No,12,1,5,0,4,6,2,87,2,2
Game_208,Loss,25,Day,T20,2,1,3,Bowling,Zimbabwe,Rainy,16891,Yes,18,3,1,0,3,6,0,36,2,1
Game_209,Loss,25,Day,ODI,1,1,4,Bowling,Srilanka,Rainy,25837,Yes,15,2,7,3,4,7,7,32,3,1
Game_210,Win,25,Day,T20,4,1,3,Bowling,South Africa,Summer,34650,No,14,2,5,0,3,6,3,57,3,2
Game_211,Loss,25,Day and Night,T20,1,1,3,Bowling,Zimbabwe,Summer,7826,Yes,14,4,1,0,3,6,0,73,1,1
Game_212,Win,25,Day,ODI,3,1,4,Batting,Kenya,Summer,14672,No,18,4,2,3,2,6,2,40,3,1
Game_213,Win,25,Day,ODI,1,1,4,Bowling,Srilanka,Rainy,25683,No,11,3,7,6,2,6,2,67,3,1
Game_214,Win,25,Day,T20,1,1,1,Bowling,South Africa,Rainy,43624,No,11,2,6,0,2,6,2,93,4,2
